PADDOCK_ID,YEAR,R2,RMSE,MAE,SMAPE,Time Usage,Memory Usage,minSEA,W_GV,ST1,ST2,NI,WHC,WR,maxSEA,alpha_PAR,T0,T1,T2,beta_T,b_IN,SLA,LLS,rho_GV,percentLAM,W_GR,a_IN,max_fIN,rho_GR,W_DV,K_DV,KI_DV,rho_DV,W_DR,K_DR,KI_DR,rho_DR,init_AGE_GV,init_AGE_GR,init_AGE_DV,init_AGE_DR,RUEmax,gammaGV,gammaGR,maxOMDgv,minOMDgv,maxOMDgr,minOMDgr,meanOMDdv,meanOMDdr,cellSurface
00F910EF8809D525CF65738FF091ED756300A4B41E877028F896D1D361EE08F0,2024,0.658702615,591.8097784,449.8117703,54.27356104,25.84 s,81.5 MB,0.98,831,854.5,1278,0.87,242,124,1.02,0.045,3.4,11.2,24.1,0,0,0.033,843,0,0.75,0,0,0,0,0,0.001,0.0024,0,0,0,0,0,0,0,0,0,1.33,0.42,0,0,0,0,0,0,0,0
06488419955FA8E9D2579F44A9C454F5C9597BD41AD80E2608CF6AD10981375D,2024,0.417021594,814.6378233,601.9983693,55.24032913,25.41 s,133.33 MB,0.93,113.333333,917.6,1303.2,1.06,561,523,1.07,0.048,4.8,12,18.2,0,0,0.032,644,0,0.65,0,0,0,0,0,0.001,0.0021,0,0,0,0,0,0,0,0,0,1.29,0.59,0,0,0,0,0,0,0,0
07C0F2806C0418E89215BD24726EC8944CF8C10FB5665D3802F313748D16CF43,2024,0.59558616,622.5056771,471.4090504,49.2365758,26.0 s,75.44 MB,0.79,417.666667,921.8,1848.1,1.19,487,206,1.21,0.045,3.4,8.8,25.6,0,0,0.033,1959,0,0.76,0,0,0,0,0,0.0029,0.0027,0,0,0,0,0,0,0,0,0,1.64,0.55,0,0,0,0,0,0,0,0
0B233FAFC621B246A3F1577A10FC65DAB5AA100F0F5E71CC2057ED484BDFCC61,2024,0.495803794,891.8987433,669.1589738,63.89406827,26.35 s,75.7 MB,0.81,302,677.9,1507,0.68,200,129,1.19,0.038,2.2,11.5,19.1,0,0,0.032,1662,0,0.78,0,0,0,0,0,0.0026,0.0012,0,0,0,0,0,0,0,0,0,2.91,0.59,0,0,0,0,0,0,0,0
0BC0324AA3E12503C1B7086EC3AF7C01FD786AE42B43697741B96656573FF07C,2024,0.578593063,702.2727352,499.113977,51.61465489,25.42 s,133.55 MB,0.62,486,622.7,1837.3,1.02,482,469,1.38,0.047,3.8,12.9,22.7,0,0,0.027,2038,0,0.6,0,0,0,0,0,0.0028,0.0026,0,0,0,0,0,0,0,0,0,2.63,0.58,0,0,0,0,0,0,0,0
0C90C454A53DCBA5C8C081995BCEAF59C5E9FBD92A762A19DB0F1A3206F9743A,2024,0.618866752,705.6491634,549.0260435,53.16244386,25.8 s,84.17 MB,0.66,889.666667,890.3,1709.6,0.7,259,115,1.34,0.049,4.6,10.9,21.4,0,0,0.033,2054,0,0.74,0,0,0,0,0,0.0017,0.0008,0,0,0,0,0,0,0,0,0,2.27,0.53,0,0,0,0,0,0,0,0
0D023EA028C051CDB0234B67C2CF4AC06E1571560D8D4FA5BFA3F28F74CEC961,2024,0.509876825,693.9827643,561.7408779,45.92110057,26.15 s,80.69 MB,0.67,619.333333,919.3,1785.9,1.01,554,424,1.33,0.051,3.7,8.4,20.5,0,0,0.031,880,0,0.78,0,0,0,0,0,0.0026,0.002,0,0,0,0,0,0,0,0,0,1.75,0.42,0,0,0,0,0,0,0,0
1A06042517EC6061D5B0825F9B539DA584729DC94209A04982875840895C721B,2024,0.656233433,688.793359,549.6890264,58.48015808,25.97 s,85.17 MB,0.96,354.333333,849.6,1802.7,0.85,270,256,1.04,0.038,3.3,12.1,23.5,0,0,0.031,1873,0,0.76,0,0,0,0,0,0.0033,0.0036,0,0,0,0,0,0,0,0,0,2.28,0.39,0,0,0,0,0,0,0,0
1C1FB6ADBFD5B209BAFC966EEBBC3CC967CEEF0085FA61E39F1B34776BD34F4D,2024,0.604866419,600.6158133,463.5777979,33.35807108,25.35 s,85.17 MB,0.91,236,634.6,1377.5,0.4,287,124,1.09,0.037,2.1,12.6,23.3,0,0,0.029,1761,0,0.76,0,0,0,0,0,0.001,0.0038,0,0,0,0,0,0,0,0,0,1.9,0.21,0,0,0,0,0,0,0,0
1E5C7D852FCB70FBDD6F2B63B02E3EF645BE95854713924B02D252C461ED176C,2024,0.605074494,525.7103169,400.8575691,29.8187021,25.64 s,96.86 MB,0.94,368.666667,649.1,1608.1,1.15,269,240,1.06,0.051,3.4,11.7,20.8,0,0,0.031,1509,0,0.75,0,0,0,0,0,0.0026,0.004,0,0,0,0,0,0,0,0,0,1.17,0.54,0,0,0,0,0,0,0,0
1EC6182F24359D26E76E60BC6A9D7552C29D8EFA5CE9127E2F8D3F31880AAD1B,2024,0.633434282,642.4608209,465.7732077,53.66482583,24.35 s,135.66 MB,0.76,282,811.7,1794.2,0.91,259,207,1.24,0.049,2.3,9.4,27.8,0,0,0.029,1403,0,0.78,0,0,0,0,0,0.0013,0.0018,0,0,0,0,0,0,0,0,0,1.17,0.55,0,0,0,0,0,0,0,0
20F2582C0B49E4DA831E958204FCF637E3F577BA1878FB44590159B91ED14999,2024,0.798503435,475.232188,350.8340565,29.46245137,24.15 s,135.39 MB,0.75,642,730.5,1406.5,0.67,324,111,1.25,0.053,3.3,13.5,21.6,0,0,0.033,2032,0,0.73,0,0,0,0,0,0.0017,0.0039,0,0,0,0,0,0,0,0,0,2.65,0.31,0,0,0,0,0,0,0,0
230931D3FF8D811DADBE78F1BA3B1397B7FF68C4B95CBE098D32AC5ABBBB0909,2024,0.651611083,554.3055337,427.5234897,38.65301031,23.95 s,135.06 MB,0.84,571.666667,713.6,1330.7,0.42,408,384,1.16,0.045,4.8,11.2,26.6,0,0,0.032,2021,0,0.76,0,0,0,0,0,0.001,0.0005,0,0,0,0,0,0,0,0,0,1.65,0.47,0,0,0,0,0,0,0,0
232298AE750DF9D533A91E913F020991CD0FED719F31D9C9B94980910E533D46,2024,0.602634366,463.0525324,331.6056767,32.84541612,24.54 s,133.52 MB,0.95,502.666667,600,1229.9,0.47,371,368,1.05,0.04,2,12.3,25.6,0,0,0.028,1745,0,0.73,0,0,0,0,0,0.0027,0.0033,0,0,0,0,0,0,0,0,0,2.85,0.39,0,0,0,0,0,0,0,0
2851C9C9E1ECBE672070E0EF5EC2DAFDAC7559E051984711653FA61905F41B8F,2024,0.447399798,724.7566447,577.1805366,50.48952801,24.52 s,133.92 MB,0.68,687.666667,647.5,1372.3,0.65,324,174,1.32,0.049,3.8,14,26.3,0,0,0.031,1884,0,0.76,0,0,0,0,0,0.0025,0.0005,0,0,0,0,0,0,0,0,0,2.9,0.5,0,0,0,0,0,0,0,0
2A8621189AA18377315E99223F639DA6D090CD33E9B35107EC09046AF28DE6D0,2024,0.648052628,614.733137,480.9513447,49.94550623,24.18 s,134.48 MB,0.6,702.666667,755.1,1217.2,1.03,467,398,1.4,0.037,4.2,11.8,23.2,0,0,0.031,1657,0,0.78,0,0,0,0,0,0.0016,0.0037,0,0,0,0,0,0,0,0,0,1.61,0.57,0,0,0,0,0,0,0,0
2BC75AA87A5702D4B8649E610C75E00E444CF8D077FA6ADE768058AC32376851,2024,0.560705372,444.7580809,362.6414902,46.49775834,24.23 s,134.58 MB,0.81,436,896.1,1355.2,0.66,552,476,1.19,0.055,3.7,11.4,19.4,0,0,0.033,2029,0,0.72,0,0,0,0,0,0.0011,0.004,0,0,0,0,0,0,0,0,0,1.11,0.2,0,0,0,0,0,0,0,0
30C1500249A961CA9415ADE6EC0C3D61B4660AB16D847CA67941A996A3AB45D2,2024,0.55516411,578.4593015,472.4279608,51.64731775,23.91 s,134.05 MB,0.97,791.333333,897.6,1270.7,0.73,586,571,1.03,0.053,3,11.7,21.4,0,0,0.027,1277,0,0.64,0,0,0,0,0,0.001,0.0031,0,0,0,0,0,0,0,0,0,1.35,0.56,0,0,0,0,0,0,0,0
3247C12108AE936007907FEDE3DCE19308F679A8041E5E4EDCFF725675B8122B,2024,0.530925578,668.7487387,518.8873661,53.49470815,24.16 s,133.86 MB,0.7,730,656.2,1428.1,0.9,405,273,1.3,0.036,2.8,14.9,26.7,0,0,0.032,1911,0,0.78,0,0,0,0,0,0.0036,0.0023,0,0,0,0,0,0,0,0,0,2.79,0.53,0,0,0,0,0,0,0,0
408DA8B1E918725A44E893F16D6EA5B39AD129B651F58DEBF380C04DD8B59F16,2024,0.485137781,763.1397402,586.9068187,59.23957572,23.82 s,142.06 MB,0.95,718,697.4,1548,0.61,550,286,1.05,0.043,3.4,8.7,26,0,0,0.033,1316,0,0.74,0,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0,1.7,0.5,0,0,0,0,0,0,0,0
42A28EAED067F04AE3BE6B592B063C739405D4E9A4A782A509DD013A870B58AC,2024,0.582920459,697.6405749,518.2105945,39.63115295,24.67 s,156.05 MB,0.77,558.333333,658.5,1346,0.61,526,143,1.23,0.039,3.1,12.1,26.5,0,0,0.032,2079,0,0.76,0,0,0,0,0,0.002,0.0038,0,0,0,0,0,0,0,0,0,2.68,0.2,0,0,0,0,0,0,0,0
44E6B49BF86A753E6E4690DA61C2BB6B7C032141B301AD2154F0FFA62C271BAF,2024,0.522597525,512.404485,422.555009,41.77989346,25.05 s,134.75 MB,0.6,350,641.7,1710.1,1.14,565,235,1.4,0.038,2.3,9.5,24.8,0,0,0.03,1990,0,0.63,0,0,0,0,0,0.0026,0.0039,0,0,0,0,0,0,0,0,0,1.89,0.55,0,0,0,0,0,0,0,0
4BF23F48B851D1E1E1968FCDFCCC44691C848B8DEA4A6EDADBB1C1B312067779,2024,0.674737177,517.1247383,400.3844393,51.17256866,25.25 s,135.23 MB,0.6,662,637.7,1826.6,0.51,289,257,1.4,0.044,2.2,8.3,25.8,0,0,0.033,1954,0,0.74,0,0,0,0,0,0.001,0.0037,0,0,0,0,0,0,0,0,0,2,0.35,0,0,0,0,0,0,0,0
5032A8B47F0D5B596A76AE8EE156D57DD53606A0898CCE27E468DEF6F5D9DFF7,2024,0.706116229,531.4762406,418.7794704,35.24072397,25.27 s,124.02 MB,0.79,676.666667,606.7,1237.6,0.88,376,353,1.21,0.052,4.1,13.2,23.1,0,0,0.032,1032,0,0.73,0,0,0,0,0,0.0018,0.0005,0,0,0,0,0,0,0,0,0,1.59,0.5,0,0,0,0,0,0,0,0
5097790457AB4028B6DAC6CB8D56EA5A6FB0E33CAC5FF3CACBE441DA26EB1F5B,2024,0.779109908,336.4511135,261.0825752,32.11153836,25.35 s,80.47 MB,0.95,221.666667,984.5,1712.6,0.49,330,286,1.05,0.053,3.4,10,27.6,0,0,0.032,1302,0,0.77,0,0,0,0,0,0.0011,0.0039,0,0,0,0,0,0,0,0,0,1.48,0.48,0,0,0,0,0,0,0,0
509A7C56D95FD06865C97F33E9AF63A540FE7F7F4FFB9D028000D757AB2A0D6E,2024,0.34243689,693.7507701,511.1051434,44.84799417,25.91 s,79.91 MB,0.98,1005.333333,794,1704.7,0.74,564,316,1.02,0.041,3.9,12.8,21.4,0,0,0.03,1355,0,0.72,0,0,0,0,0,0.0013,0.0035,0,0,0,0,0,0,0,0,0,1.35,0.49,0,0,0,0,0,0,0,0
55CAD78640481BCD139B8D9CC40FF351D51AAFEFE4BFE7741C9BE73444088DE7,2024,0.677423725,537.3378245,429.4559303,40.17619241,25.63 s,81.14 MB,0.69,1328.333333,677.5,1800.7,1.14,285,78,1.31,0.05,3.2,8.6,19.9,0,0,0.028,1853,0,0.74,0,0,0,0,0,0.0018,0.004,0,0,0,0,0,0,0,0,0,1.23,0.51,0,0,0,0,0,0,0,0
582B1B199E07E4F6F38903BD7EB5550E3253ADCF7C3B8DB1625542846CD71214,2024,0.614223077,732.3075867,575.0257059,49.96385477,25.31 s,79.03 MB,0.81,342.666667,889.7,1308.1,0.91,592,339,1.19,0.053,4.8,10.4,26,0,0,0.025,663,0,0.77,0,0,0,0,0,0.0013,0.0032,0,0,0,0,0,0,0,0,0,2.07,0.44,0,0,0,0,0,0,0,0
582F049C0E202C8FAF9E91B0E01132598C2CF3CC31B2C8C825975C81FBF2CF71,2024,0.554115037,523.3995419,402.067361,33.09081179,25.62 s,86.05 MB,0.96,361.666667,832.6,1848.8,0.56,302,251,1.04,0.035,3.7,9.5,22.5,0,0,0.031,1662,0,0.78,0,0,0,0,0,0.0027,0.0034,0,0,0,0,0,0,0,0,0,2.1,0.52,0,0,0,0,0,0,0,0
58BC97100F5437A588AD8DF6DE356F9D07B05547BA498AFEDEE2338C6DABF7B6,2024,0.62577395,839.2920915,604.1934858,50.07239174,25.58 s,83.64 MB,0.8,250,610.8,1745.4,0.87,247,239,1.2,0.055,3.7,11.9,20,0,0,0.033,1638,0,0.76,0,0,0,0,0,0.001,0.0016,0,0,0,0,0,0,0,0,0,1.21,0.42,0,0,0,0,0,0,0,0
5A21FF662299DF1EBAADE04697926088626ACD97C06675AF7D8A99D404D0465F,2024,0.623298189,698.761331,527.9621911,45.0259652,26.12 s,135.73 MB,0.72,347.333333,913.4,1377.4,0.79,213,100,1.28,0.044,4.9,8,21.4,0,0,0.031,1998,0,0.77,0,0,0,0,0,0.0021,0.0025,0,0,0,0,0,0,0,0,0,2.11,0.47,0,0,0,0,0,0,0,0
5E0883108A7CAC4AB325168BE2E3A967531E814595DCCF084EE89823F84F873C,2024,0.649823795,538.4684364,420.6343607,32.93953548,27.02 s,135.45 MB,0.81,749.666667,818.6,1419.7,0.38,557,393,1.19,0.054,2.1,10.6,19.4,0,0,0.033,1017,0,0.76,0,0,0,0,0,0.0011,0.0019,0,0,0,0,0,0,0,0,0,2.79,0.32,0,0,0,0,0,0,0,0
5EBB28482316A309E6B222EC5A7AFD08B41D463E48818792AF872ED9D0D86DA6,2024,0.69169072,732.0001737,495.8658015,42.89558313,26.6 s,135.5 MB,0.67,353,945.5,1257.3,1.1,432,237,1.33,0.043,2.6,13.4,23.7,0,0,0.028,1637,0,0.68,0,0,0,0,0,0.0016,0.0027,0,0,0,0,0,0,0,0,0,1.72,0.48,0,0,0,0,0,0,0,0
5F6EA66AE587EC2290C29F9FD3E2B70B7D622E677B0546A5AD9480259EF26D82,2024,0.615177969,638.9097565,482.5935088,50.58696892,26.81 s,135.75 MB,0.59,701,999.8,1280.7,0.84,515,292,1.41,0.041,4.3,12,22.2,0,0,0.03,1010,0,0.67,0,0,0,0,0,0.0012,0.0007,0,0,0,0,0,0,0,0,0,1.86,0.31,0,0,0,0,0,0,0,0
632B19C13822AB465A622A3628C8488A57422AE48F94991153357AAB636F330A,2024,0.611105548,502.5896196,378.3499968,35.24929118,27.49 s,135.14 MB,0.92,350,868.7,1808,0.86,594,381,1.08,0.051,4.4,10.1,24.8,0,0,0.032,1803,0,0.64,0,0,0,0,0,0.004,0.0038,0,0,0,0,0,0,0,0,0,2.19,0.38,0,0,0,0,0,0,0,0
66D29F1537BAEE419F3BE2398ABA67015F6093C8D93235B7D483E0AFD52BD801,2024,0.655761618,543.7083789,438.9541372,48.51301286,26.58 s,135.38 MB,0.92,408.666667,629.2,1503.9,0.46,561,522,1.08,0.055,2.5,14.2,21.8,0,0,0.032,1749,0,0.64,0,0,0,0,0,0.0011,0.0006,0,0,0,0,0,0,0,0,0,1.62,0.4,0,0,0,0,0,0,0,0
676EA314B66AB4CF19EBB6C3BF63BC0572D61A27E0B6FD761D05FD7A62845999,2024,0.567576071,481.0915447,382.2867122,46.76990393,26.69 s,135.11 MB,0.93,432.333333,612.4,1264.1,0.38,565,549,1.07,0.046,3.2,13.9,22.7,0,0,0.033,1831,0,0.7,0,0,0,0,0,0.002,0.0032,0,0,0,0,0,0,0,0,0,2.75,0.53,0,0,0,0,0,0,0,0
699BECE900590CFB819A20B1081B84FB4A2B15ABA3C4B7E0E60C86C8999FE107,2024,0.598782784,613.1467603,473.9129644,49.98607441,27.16 s,134.86 MB,0.86,641.666667,979.6,1832.7,0.99,297,282,1.14,0.04,2.2,10.2,20,0,0,0.033,900,0,0.73,0,0,0,0,0,0.001,0.0039,0,0,0,0,0,0,0,0,0,1.07,0.27,0,0,0,0,0,0,0,0
