PADDOCK_ID,YEAR,R2,RMSE,MAE,SMAPE,Time Usage,Memory Usage,minSEA,W_GV,ST1,ST2,NI,WHC,WR,maxSEA,alpha_PAR,T0,T1,T2,beta_T,b_IN,SLA,LLS,rho_GV,percentLAM,W_GR,a_IN,max_fIN,rho_GR,W_DV,K_DV,KI_DV,rho_DV,W_DR,K_DR,KI_DR,rho_DR,init_AGE_GV,init_AGE_GR,init_AGE_DV,init_AGE_DR,RUEmax,gammaGV,gammaGR,maxOMDgv,minOMDgv,maxOMDgr,minOMDgr,meanOMDdv,meanOMDdr,cellSurface
00F910EF8809D525CF65738FF091ED756300A4B41E877028F896D1D361EE08F0,2024,0.77347042,482.1454983,350.2939991,36.97634675,780.03 s,80.86 MB,0.95,831,920.8,1469.1,0.98,373,188,1.05,0.053,2,14.6,27.3,0,0,0.032,2006,0,0.78,0,0,0,0,0,0.0027,0.0039,0,0,0,0,0,0,0,0,0,2.16,0.57,0,0,0,0,0,0,0,0
06488419955FA8E9D2579F44A9C454F5C9597BD41AD80E2608CF6AD10981375D,2024,0.525111798,735.2482949,537.7716768,53.56925233,794.29 s,80.8 MB,1,113.333333,708.1,1302.4,0.83,371,363,1,0.05,4.7,9.6,25.5,0,0,0.032,572,0,0.76,0,0,0,0,0,0.0011,0.0007,0,0,0,0,0,0,0,0,0,1.37,0.6,0,0,0,0,0,0,0,0
07C0F2806C0418E89215BD24726EC8944CF8C10FB5665D3802F313748D16CF43,2024,0.78360941,455.3543581,331.7354022,37.26211597,789.07 s,79.73 MB,0.94,417.666667,913.2,1679.2,0.7,234,230,1.06,0.055,2.7,11,26.6,0,0,0.033,2012,0,0.78,0,0,0,0,0,0.0034,0.004,0,0,0,0,0,0,0,0,0,2.83,0.6,0,0,0,0,0,0,0,0
0B233FAFC621B246A3F1577A10FC65DAB5AA100F0F5E71CC2057ED484BDFCC61,2024,0.601069153,793.3495416,586.9275053,54.12052574,789.77 s,81.47 MB,0.93,302,733,1751.7,0.65,600,434,1.07,0.054,3,10.3,19.7,0,0,0.033,2024,0,0.69,0,0,0,0,0,0.0024,0.0032,0,0,0,0,0,0,0,0,0,2.36,0.38,0,0,0,0,0,0,0,0
0BC0324AA3E12503C1B7086EC3AF7C01FD786AE42B43697741B96656573FF07C,2024,0.718201156,574.2811624,417.2917296,48.9288844,778.03 s,138.55 MB,0.62,486,978.6,1830.2,0.46,266,253,1.38,0.052,2,14.1,21.2,0,0,0.032,1811,0,0.75,0,0,0,0,0,0.001,0.0007,0,0,0,0,0,0,0,0,0,2.33,0.35,0,0,0,0,0,0,0,0
0C90C454A53DCBA5C8C081995BCEAF59C5E9FBD92A762A19DB0F1A3206F9743A,2024,0.721328192,603.3883632,464.5845418,47.6156047,797.48 s,80.72 MB,0.94,889.666667,953.9,1829.6,1.16,319,248,1.06,0.049,2,11.1,21.1,0,0,0.033,1916,0,0.78,0,0,0,0,0,0.0016,0.0034,0,0,0,0,0,0,0,0,0,1.09,0.6,0,0,0,0,0,0,0,0
0D023EA028C051CDB0234B67C2CF4AC06E1571560D8D4FA5BFA3F28F74CEC961,2024,0.650027848,586.4254496,458.7267902,35.20297897,775.87 s,139.0 MB,0.71,619.333333,935.7,1793.8,0.51,264,253,1.29,0.053,2.1,8.3,20.7,0,0,0.033,962,0,0.78,0,0,0,0,0,0.0013,0.0022,0,0,0,0,0,0,0,0,0,2.41,0.52,0,0,0,0,0,0,0,0
1A06042517EC6061D5B0825F9B539DA584729DC94209A04982875840895C721B,2024,0.743286292,595.2256833,468.7348508,53.00598684,761.9 s,78.08 MB,0.83,354.333333,933.5,1836.6,1.07,251,74,1.17,0.055,2.1,14.2,23,0,0,0.032,773,0,0.78,0,0,0,0,0,0.001,0.0039,0,0,0,0,0,0,0,0,0,1.71,0.57,0,0,0,0,0,0,0,0
1C1FB6ADBFD5B209BAFC966EEBBC3CC967CEEF0085FA61E39F1B34776BD34F4D,2024,0.726094575,500.0634456,397.4037236,27.57642552,774.24 s,137.58 MB,0.96,236,903.4,1710.6,0.7,200,3,1.04,0.053,2.1,15,21.7,0,0,0.033,1228,0,0.72,0,0,0,0,0,0.001,0.0039,0,0,0,0,0,0,0,0,0,1.66,0.59,0,0,0,0,0,0,0,0
1E5C7D852FCB70FBDD6F2B63B02E3EF645BE95854713924B02D252C461ED176C,2024,0.703527841,455.4921182,377.6593004,28.40320615,779.27 s,140.05 MB,0.92,368.666667,695.5,1526.9,0.52,238,112,1.08,0.046,2,13.5,20.4,0,0,0.032,2068,0,0.78,0,0,0,0,0,0.0025,0.0027,0,0,0,0,0,0,0,0,0,2.64,0.52,0,0,0,0,0,0,0,0
1EC6182F24359D26E76E60BC6A9D7552C29D8EFA5CE9127E2F8D3F31880AAD1B,2024,0.686540173,594.1028969,451.2562098,49.52298117,739.46 s,141.91 MB,0.98,282,736.1,1429.5,1.11,295,278,1.02,0.053,2.1,14.1,26.6,0,0,0.032,2044,0,0.75,0,0,0,0,0,0.0028,0.0035,0,0,0,0,0,0,0,0,0,1.58,0.6,0,0,0,0,0,0,0,0
20F2582C0B49E4DA831E958204FCF637E3F577BA1878FB44590159B91ED14999,2024,0.819172837,450.1983083,336.5317543,29.37024852,747.07 s,76.7 MB,0.9,642,638,1761.7,0.64,383,220,1.1,0.052,2,14.7,19.5,0,0,0.03,2097,0,0.77,0,0,0,0,0,0.0022,0.0032,0,0,0,0,0,0,0,0,0,2.9,0.52,0,0,0,0,0,0,0,0
230931D3FF8D811DADBE78F1BA3B1397B7FF68C4B95CBE098D32AC5ABBBB0909,2024,0.736321674,482.2300451,361.5263625,32.20008366,757.36 s,69.27 MB,1,571.666667,885.8,1271.3,0.65,352,321,1,0.054,4.3,13.9,25.6,0,0,0.032,2067,0,0.77,0,0,0,0,0,0.0021,0.0031,0,0,0,0,0,0,0,0,0,2.13,0.5,0,0,0,0,0,0,0,0
232298AE750DF9D533A91E913F020991CD0FED719F31D9C9B94980910E533D46,2024,0.729257726,382.2197707,281.1108002,26.88518344,732.26 s,75.23 MB,0.79,502.666667,852.8,1754.2,0.35,376,360,1.21,0.055,3.6,9.7,27.6,0,0,0.033,1994,0,0.78,0,0,0,0,0,0.0017,0.0034,0,0,0,0,0,0,0,0,0,2.72,0.34,0,0,0,0,0,0,0,0
2851C9C9E1ECBE672070E0EF5EC2DAFDAC7559E051984711653FA61905F41B8F,2024,0.727036153,509.376906,389.2112568,38.02158017,750.26 s,74.47 MB,0.91,687.666667,937.9,1526.6,1.13,228,224,1.09,0.055,4.7,14.7,23.9,0,0,0.033,768,0,0.76,0,0,0,0,0,0.0013,0.0005,0,0,0,0,0,0,0,0,0,1.08,0.3,0,0,0,0,0,0,0,0
2A8621189AA18377315E99223F639DA6D090CD33E9B35107EC09046AF28DE6D0,2024,0.790482028,474.3057637,369.5858619,48.52966373,736.63 s,77.48 MB,0.52,702.666667,931.6,1808.4,0.97,223,62,1.48,0.044,4.8,14.7,27,0,0,0.033,1668,0,0.77,0,0,0,0,0,0.001,0.0032,0,0,0,0,0,0,0,0,0,1.85,0.46,0,0,0,0,0,0,0,0
2BC75AA87A5702D4B8649E610C75E00E444CF8D077FA6ADE768058AC32376851,2024,0.665137681,388.3104176,293.2171243,37.54343334,739.47 s,74.36 MB,0.81,436,987.1,1807.5,0.77,213,208,1.19,0.053,2.6,15,27.3,0,0,0.031,2067,0,0.77,0,0,0,0,0,0.0022,0.0039,0,0,0,0,0,0,0,0,0,2.05,0.58,0,0,0,0,0,0,0,0
